name,price,color,size,description,image,url
"6 Mm Horizontal Ruled Line Notebook Type Peelable Loose-Leaf, 20 Holes, 50 Sheets, A5, Black",AED 15.00,Black,,"Designed for writing and organizing the papers as your need those on the go, this notebook type loose-leaf is easy to carry wherever you go. Featuring a black cover, the A5 notebook type contains 50 sheets of the peelable loose leaf that have 6 mm horizontal ruled lines and 20 holes. It can be used by opening it sideways like a notebook and the pages can be peeled off and stored in a binder.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:25a8dda6-4022-425c-9612-f3d2eda0678a/as/SK-J-4550182207392.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-6-mm-horizontal-ruled-line-notebook-type-peelable-loose-leaf-20-holes-50-sheets-a5-black-black.html
"Styrol Partition Stand, 3 Partitions, 210 X 135 X 160 Mm, S, White",AED 35.00,White,,"Organize your desk neatly at the office or at home with this styrene divider. Sporting a white coloured finish that is further augmented with its perfect finish; this divider adds elegance to the décor. With three partitions, it is easy to arrange all your essentials. Made from high-quality styrol, it features a dimension of approximately 210 x 135 x 160 mm with a partition interval of about 38mm.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:e303d2ed-eadb-454e-8d25-4d0c2fdbc399/as/SK-J-4550002856427.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-styrol-partition-stand-3-partitions-210-x-135-x-160-mm-s-white-white.html
"Gel Ink Cap Type Ballpoint Pen, 0.7 Mm, Red",AED 12.00,Red,,Gel ink ballpoint pen cap type offers comfortable writing with a firm pen grip. The smooth ink flow system ensures a smudge-free writing experience. The cap firmly covers the top and fits on the back of the barrel. The special tip ensures a precise 0.7 mm writing in red colour. Durable polypropylene material guarantees long-lasting usage.,https://media.alshaya.com/adobe/assets/urn:aaid:aem:cf1c3fad-858d-48f1-8eec-d430b78ae2e2/as/SK-J-4550002796914.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-gel-ink-cap-type-ballpoint-pen-07-mm-red-red.html
"Gel Ink Knock Type Ballpoint Pen, 0.5 Mm, Black",AED 12.00,Black,,"Highlight the important topics and notes with this smooth gel ink ballpoint pen knock type that aids in drafting your notes to the next level. The 0.5 mm tip ensures an exceptionally smooth, comfortable writing experience in vibrant black colour. With the top made from polycarbonate and the tip from ABS resin spring, the semi-transparent body is convenient to know how much ink remains. The retractable feature offers easy utility to retract the tip automatically with just a click.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:2dd6d68b-026a-4cfd-b84c-1f543924d478/as/SK-J-4550002794118.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-gel-ink-knock-type-ballpoint-pen-05-mm-black-black.html
"Gel Ink Cap Type Ballpoint Pen, 0.5 Mm, Black",AED 12.00,Black,,"Write with ease on those white pages of your notebook with the gel ink ballpoint pen cap type that offers a unique colour for writing. Ensuring precise writing, the 0.5 mm tip makes you write your thoughts in vibrant black colour. Made from polypropylene, the visible barrel makes it convenient to know the remaining ink. Featuring a pen cap, this gel ink ballpoint pen can be conveniently kept in the pocket or attached to the book.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:22582eed-772a-4111-b831-162d4f2f6c73/as/SK-J-4550002796815.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-gel-ink-cap-type-ballpoint-pen-05-mm-black-black.html
"Gel Ink Knock Type Ballpoint Pen, 0.5 Mm, Purple",AED 12.00,Purple,,"Express your writing in a new range of colours with the smooth gel ink ballpoint pen knock type that helps to bring the rich colours, bold shapes to paper. The 0.5 mm tip ensures an exceptionally smooth, comfortable writing experience in vibrant purple colour. With the top made from polycarbonate and the tip from ABS resin spring, the semi-transparent body is convenient to know how much ink remains. The retractable feature offers easy utility to retract the tip automatically with just a click.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:0d166b36-70b8-4bc5-96a0-ea0ea17b34d9/as/SK-J-4550002794170.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-gel-ink-knock-type-ballpoint-pen-05-mm-purple-purple.html
"Gel Ink Knock Type Ballpoint Pen, 0.5 Mm, Pink",AED 12.00,PINK,,"Engineered to deliver an exceptionally smooth, precise writing experience, the smooth gel ink ballpoint pen knock type is a delight to write or sketch. The 0.5 mm tip ensures an exceptionally smooth, comfortable writing experience in vibrant pink colour. With the top made from polycarbonate and the tip from ABS resin spring, the semi-transparent body is convenient to know how much ink remains. The retractable feature offers easy utility to retract the tip automatically with just a click.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:ba31c621-6c97-47a5-8ef0-40e04454f24f/as/SK-J-4550002794248.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-gel-ink-knock-type-ballpoint-pen-05-mm-pink-pink.html
"Gel Ink Knock Type Ballpoint Pen, 0.5 Mm, Yellow",AED 12.00,Yellow,,"With its minimalistic design and high functionality, the smooth gel ink ballpoint pen knock type is a perfect choice to explore endless creativity on paper. The 0.5 mm tip ensures an exceptionally smooth, comfortable writing experience in vibrant yellow colour. With the top made from polycarbonate and the tip from ABS resin spring, the semi-transparent body is convenient to know how much ink remains. The retractable feature offers easy utility to retract the tip automatically with just a click.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:d362ffa8-f375-443e-a673-8454e9bf3052/as/SK-J-4550002794224.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-gel-ink-knock-type-ballpoint-pen-05-mm-yellow-yellow.html
"Triangular 2-Color Ballpoint Pen, Oil-Based, 0.7 Mm, Black/Red",AED 19.00,Black/Red,,"Express your thoughts in colours instantly with the triangular 2 colour ballpoint that comes in handy for correction or marking down the important texts. This triangular 2 colour ballpoint of red and black colour ink is equipped with a mechanical pencil for instant sketching, drawing, or taking notes. The white coloured body makes it look professional, while the high-quality plastic material vouches for its long-lasting durability.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:1b09b6b8-3f24-43db-9aa3-ff8fa443d04a/as/SK-J-4550002553036.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-triangular-2-color-ballpoint-pen-oil-based-07-mm-blackred-black-red.html
"Smooth Sharp Core B 0.5 Mm Mechanical Pencil Leads, 40 Pieces",AED 12.00,Natural,,"Formulated to write uniformly and smoothly for all-day writing, the smooth sharp core b 0.5 mm mechanical pencil leads are breakage resistant as well. Offering a smooth writing experience, makes you forget the weariness of writing. It is available as a set of 40 Pieces and comes in a special kraft paper packing. Specially designed for artists, students, and carpenters, it helps to write, sketch, and draw effortlessly.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:1beb6d90-2236-4ac5-b87e-ebeaf115a17c/as/SK-J-4549337318717.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-smooth-sharp-core-b-05-mm-mechanical-pencil-leads-40-pieces-natural.html
"Polycarbonate Ball Point Pen, 0.7 Mm, Red",AED 9.00,Red,,"The unique translucent structure of this polycarbonate ballpoint pen makes it not just look great but also convenient to carry in your pouch. The click type retractable pen is easy to use and writes smoothly on any paper without any smudge. It helps to write beautifully in red colour. Durable and long-lasting, the body of the pen is made from polycarbonate for superior performance.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:33679c59-1943-4fe9-8ad7-d5f78b9ddc78/as/SK-J-4548718444441.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-polycarbonate-ball-point-pen-07-mm-red-red.html
